연번,호선,역번호,역명,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월
69,3,317,경복궁,672310,503131,361475,400469,459096,476607,517970,420383,382011,492188,516941,366350
70,3,318,안국,687236,516609,370500,402683,463688,492381,540815,422184,378745,495455,520767,357485
71,3,319,종로3가(3),317850,261836,223889,225542,236850,251368,276117,217897,203827,231468,244212,200184
72,3,320,을지로3가(3),319231,273523,219373,225594,243942,263485,284325,225184,211182,235937,250830,209791
73,3,322,동대입구,286596,204405,162310,168384,185012,196411,204106,172043,165989,197190,208994,164148
74,3,323,약수(3),402833,342414,287821,301072,331122,348935,369850,308848,294055,335872,341903,281302
75,3,324,금호,251899,212585,179157,192097,212918,220315,234299,197747,187653,214886,217107,177912
76,3,325,옥수,283053,232817,196109,215354,243774,251468,269281,221257,213378,246570,245493,195473
77,3,326,압구정,987812,812024,650266,684025,760614,807419,878734,741645,696224,776073,795931,678187
78,3,327,신사,958503,819130,653872,681002,752557,780332,844814,691456,639389,751670,777981,626926
79,3,328,잠원,181009,147435,115414,128815,150316,157007,163779,134083,121295,135022,129341,98168
80,3,329,고속터미널(3),1727836,1141102,794361,946279,1188204,1157571,1267003,1095308,891485,1176269,1138387,874239
81,3,330,교대(3),414822,345176,289339,303054,335829,363963,391879,311153,288114,335779,355776,278165
82,3,331,남부터미널,984446,773895,599033,644795,728994,759289,830134,693082,617039,735143,765028,603432
83,3,332,양재,1135330,967943,786770,822961,911128,984444,1037765,841378,806223,920449,975041,794292
84,3,333,매봉,326293,280578,237542,244454,268401,297978,318291,264703,251541,285238,304232,257739
85,3,334,도곡,161626,132362,103090,109460,128088,140874,147922,118979,114810,131503,138719,112404
86,3,335,대치,368763,297137,205435,231137,270200,280689,306702,264276,224793,278879,288346,214890
87,3,336,학여울,61979,50228,35081,38378,43928,60964,58902,43337,38321,53832,58609,36651
88,3,337,대청,289127,243371,197350,208941,232125,257815,274453,222022,209352,243406,252171,207147
89,3,338,일원,285569,228536,176231,193385,213820,238955,259252,211786,200406,233851,241923,199530
90,3,339,수서,549086,429865,324100,365940,435580,454356,483947,404963,364079,442405,457610,347341
91,3,340,가락시장(3),289705,229160,190142,205322,229469,242425,257109,212057,207140,230985,238370,195965
92,3,341,경찰병원,228171,191466,157604,166655,181981,197178,210082,174161,164507,184618,191307,161395
93,3,342,오금(3),190296,162608,135827,142059,156166,167341,175989,145266,137967,156819,161217,132125
94,4,409,당고개,387023,330968,292706,306793,339871,342335,365329,309387,301964,344486,339983,286682
95,4,410,상계,590306,502795,441343,461188,504121,519147,550583,462176,443487,506425,511054,430241
